TIME,CH3,CH3 Peak Detect
-2.78640e-05,0.04,0.02
-2.78560e-05,0.04,0.04
-2.78480e-05,0.02,0.02
-2.78400e-05,0.04,0.04
-2.78320e-05,0.02,0.02
-2.78240e-05,0.04,0.06
-2.78160e-05,0.04,0.02
-2.78080e-05,0.04,0.06
-2.78000e-05,0.02,0.02
-2.77920e-05,0.04,0.06
-2.77840e-05,0.04,0.02
-2.77760e-05,0.02,0.06
-2.77680e-05,0.04,0.02
-2.77600e-05,0.06,0.06
-2.77520e-05,0.02,0.02
-2.77440e-05,0.04,0.06
-2.77360e-05,0.04,0.02
-2.77280e-05,0.04,0.06
-2.77200e-05,0.04,0.02
-2.77120e-05,0.02,0.06
-2.77040e-05,0.02,0.02
-2.76960e-05,0.04,0.04
-2.76880e-05,0.04,-3.33786e-08
-2.76800e-05,0.02,0.04
-2.76720e-05,-3.33786e-08,-3.33786e-08
-2.76640e-05,0.02,0.06
-2.76560e-05,0.02,-3.33786e-08
-2.76480e-05,0.04,0.06
-2.76400e-05,0.04,0.02
-2.76320e-05,0.04,0.06
-2.76240e-05,0.06,0.02
-2.76160e-05,0.04,0.04
-2.76080e-05,0.02,0.02
-2.76000e-05,0.04,0.06
-2.75920e-05,0.04,0.02
-2.75840e-05,0.04,0.04
-2.75760e-05,0.04,0.02
